Wall time,Step,Value
1700854922.7019758,99,0.3358279764652252
1700854963.4718397,199,0.3575396239757538
1700855004.27571,299,0.4285162091255188
1700855045.2112699,399,0.434444785118103
1700855086.1851907,499,0.4567265212535858
1700855127.3086839,599,0.4530082046985626
1700855168.2317379,699,0.45599842071533203
1700855209.2537644,799,0.4783651828765869
1700855250.1880827,899,0.4633385241031647
1700855291.442689,999,0.4695770740509033
1700855332.5178435,1099,0.4769899845123291
1700855373.483494,1199,0.4655801057815552
1700855414.2923412,1299,0.4721829295158386
1700855455.1631954,1399,0.4789128303527832
1700855496.12472,1499,0.4824199676513672
1700855536.912101,1599,0.48237308859825134
1700855577.6935687,1699,0.4794837236404419
1700855618.645697,1799,0.47960567474365234
1700855659.6698694,1899,0.491183340549469
1700855700.5925508,1999,0.48034095764160156
1700855741.5306363,2099,0.49076953530311584
1700855782.2956731,2199,0.48885709047317505
1700855823.2181349,2299,0.49089860916137695
1700855864.1107223,2399,0.4847041666507721
1700855905.17787,2499,0.4918932318687439
1700855946.1930857,2599,0.4676714241504669
1700855986.959837,2699,0.49240928888320923
1700856027.8526216,2799,0.49366873502731323
1700856068.583256,2899,0.49075329303741455
1700856109.6108477,2999,0.49210262298583984
1700856150.3758347,3099,0.48469942808151245
1700856191.2159748,3199,0.4934806823730469
1700856232.1895707,3299,0.49404603242874146
1700856273.1281893,3399,0.4951464831829071
1700856314.0408318,3499,0.493660032749176
1700856354.9667077,3599,0.4948086142539978
1700856395.736111,3699,0.4916943311691284
1700856436.5537765,3799,0.49127984046936035
1700856477.550104,3899,0.5006086826324463
1700856518.3776155,3999,0.4954356253147125
1700856559.3622544,4099,0.5015745162963867
1700856600.1927285,4199,0.49297577142715454
1700856641.140978,4299,0.48235058784484863
1700856681.7513866,4399,0.49250876903533936
1700856722.6463082,4499,0.4962562620639801
1700856763.2985172,4599,0.5046285390853882
1700856804.132158,4699,0.5010089874267578
1700856844.8030066,4799,0.5017707943916321
1700856885.9427454,4899,0.49910277128219604
1700856927.126063,4999,0.4937796890735626
1700856968.0987687,5099,0.47959280014038086
1700857008.8605394,5199,0.4675399661064148
1700857049.7362792,5299,0.48140695691108704
1700857090.8871315,5399,0.49773654341697693
1700857131.8680944,5499,0.4941197633743286
1700857172.6070015,5599,0.5004481077194214
1700857213.5705605,5699,0.5024935007095337
1700857254.3741655,5799,0.5019874572753906
1700857295.4908242,5899,0.5039379596710205
1700857336.4897475,5999,0.5053832530975342
1700857377.413375,6099,0.5023937821388245
1700857418.3895142,6199,0.49954748153686523
1700857459.3009183,6299,0.5017299652099609
1700857500.2199428,6399,0.5025811195373535
1700857541.034548,6499,0.4999973177909851
1700857581.885591,6599,0.49820253252983093
1700857622.7487276,6699,0.502801775932312
1700857663.5067396,6799,0.5033579468727112
1700857704.5688236,6899,0.5034569501876831
1700857745.3712173,6999,0.5036208629608154
1700857786.3607569,7099,0.49470046162605286
1700857827.1347485,7199,0.49446797370910645
1700857867.9697628,7299,0.48271340131759644
1700857908.9132454,7399,0.5007092952728271
1700857949.8460135,7499,0.49447301030158997
1700857990.6998284,7599,0.48851150274276733
1700858031.6466503,7699,0.496146023273468
1700858072.5908177,7799,0.5043011903762817
1700858113.6683524,7899,0.4989444613456726
1700858154.3629873,7999,0.5025705695152283
1700858195.3020988,8099,0.505951464176178
1700858236.0172586,8199,0.5016179084777832
1700858276.8790264,8299,0.4984126687049866
1700858317.5607917,8399,0.5016921162605286
1700858358.3365295,8499,0.5069068670272827
1700858399.1949325,8599,0.5067768692970276
1700858440.0652351,8699,0.5067784786224365
1700858480.9940088,8799,0.5072379112243652
1700858521.7013416,8899,0.5052514672279358
1700858562.4765248,8999,0.5064588785171509
1700858603.247128,9099,0.5049576759338379
1700858644.0566103,9199,0.5059803128242493
1700858684.9607503,9299,0.5028168559074402
1700858725.8296847,9399,0.46380290389060974
1700858766.746571,9499,0.4749065637588501
1700858807.7060483,9599,0.4987219572067261
1700858848.4534929,9699,0.4973793625831604
1700858889.5507512,9799,0.5005699396133423
1700858930.4931343,9899,0.5015681982040405
1700858971.4318402,9999,0.5008740425109863
1700859012.3237953,10099,0.4989972710609436
1700859053.2195554,10199,0.5035385489463806
1700859094.1778579,10299,0.5000526309013367
1700859135.155709,10399,0.499361127614975
1700859176.0923038,10499,0.5006029605865479
1700859216.899933,10599,0.5003413558006287
1700859257.8068829,10699,0.500360906124115
1700859298.8147802,10799,0.5017549991607666
1700859339.5583677,10899,0.5024843811988831
1700859380.2544274,10999,0.5051427483558655
1700859421.1142485,11099,0.5045016407966614
1700859461.9298995,11199,0.48820042610168457
1700859502.6481216,11299,0.48074671626091003
1700859543.2891734,11399,0.44621390104293823
1700859584.0086412,11499,0.47848081588745117
1700859624.812961,11599,0.49102839827537537
1700859665.7881272,11699,0.49395138025283813
1700859706.6576114,11799,0.49591270089149475
1700859747.9527392,11899,0.4986690878868103
1700859788.7423499,11999,0.49700838327407837
1700859829.429266,12099,0.49809515476226807
1700859870.4353313,12199,0.49632197618484497
1700859911.372613,12299,0.4961712658405304
1700859951.963426,12399,0.494931161403656
1700859992.80455,12499,0.4958176612854004
1700860033.52376,12599,0.49876129627227783
1700860074.6917646,12699,0.4934818148612976
1700860115.7838566,12799,0.4965773820877075
1700860156.7324746,12899,0.49856996536254883
1700860197.7395287,12999,0.5002907514572144
1700860238.7105763,13099,0.5018951296806335
1700860280.2194126,13199,0.5018428564071655
1700860321.1301594,13299,0.49917787313461304
1700860362.3190014,13399,0.5027600526809692
1700860403.3595688,13499,0.5001828670501709
1700860444.331007,13599,0.49999985098838806
1700860485.335819,13699,0.49895724654197693
1700860526.3976967,13799,0.5003368854522705
1700860567.368196,13899,0.49986040592193604
1700860608.1185467,13999,0.5009725093841553
1700860649.086359,14099,0.48976069688796997
1700860690.1140926,14199,0.48754966259002686
1700860731.2681763,14299,0.501878023147583
